"refID","kw_original","token","corrected"
"1","aedes","aedes","aides"
"1","competitive displacement","competitive","competitive"
"1","competitive displacement","displacement","displacement"
"1","dengue virus","dengue","dengue"
"1","dengue virus","virus","virus"
"1","mosquito","mosquito","mosquito"
"1","rna interference","rna","RNA"
"1","rna interference","interference","interference"
"1","trade-off","trade","trade"
"1","trade-off","off","off"
"1","vector","vector","vector"
"10","chew","chew","chew"
"10","diet evolution","diet","diet"
"10","diet evolution","evolution","evolution"
"10","feeding","feeding","feeding"
"10","functional morphology","functional","functional"
"10","functional morphology","morphology","morphology"
"10","gnaw","gnaw","gnaw"
"10","myomorph","myomorph","morph"
"10","natural selection","natural","natural"
"10","natural selection","selection","selection"
"10","phylogenetic path analysis","phylogenetic","phylogenetic"
"10","phylogenetic path analysis","path","path"
"10","phylogenetic path analysis","analysis","analysis"
"10","rodentia","rodentia","rodent"
"10","sigmodontines","sigmodontines","periodontists"
"100","aedeagus","aedeagus","demagogues"
"100","carabidae","carabidae","carbide"
"100","geometric morphometrics","geometric","geometric"
"100","geometric morphometrics","morphometrics","psychometric"
"100","interspecific hybridization","interspecific","inter specific"
"100","interspecific hybridization","hybridization","hybridization"
"100","paramere","paramere","para mere"
"100","reproductive character displacement","reproductive","reproductive"
"100","reproductive character displacement","character","character"
"100","reproductive character displacement","displacement","displacement"
"100-1","amazonas","amazonas","amazons"
"100-1","brazil","brazil","Brazil"
"100-1","dung beetle","dung","dung"
"100-1","dung beetle","beetle","beetle"
"100-1","forest fragmentation","forest","forest"
"100-1","forest fragmentation","fragmentation","fragmentation"
"100-1","matrix habitat","matrix","matrix"
"100-1","matrix habitat","habitat","habitat"
"100-1","rain forest","tropical","tropical"
"100-1","rain forest","rainforest","rain forest"
"100-1","recovery","recovery","recovery"
"100-1","secondary vegetation","secondary","secondary"
"100-1","secondary vegetation","vegetation","vegetation"
"100-10","allee effects","allee","allele"
"100-10","allee effects","effects","effects"
"100-10","evolution of periodicity","evolution","evolution"
"100-10","evolution of periodicity","of","of"
"100-10","evolution of periodicity","periodicity","periodicity"
"100-10","magicicada","magicicada","magi cicada"
"100-10","rock-paper-scissors competition","rock","rock"
"100-10","rock-paper-scissors competition","paper","paper"
"100-10","rock-paper-scissors competition","scissors","scissors"
"100-10","rock-paper-scissors competition","competition","competition"
"100-10","spatial dynamics","spatial","spatial"
"100-10","spatial dynamics","dynamics","dynamics"
"100-100","antarctic fur seals","antarctic","antarctic"
"100-100","antarctic fur seals","fur","fur"
"100-100","antarctic fur seals","seals","seals"
"100-100","bird island","bird","bird"
"100-100","bird island","island","island"
"100-100","south georgia","south","south"
"100-100","south georgia","georgia","Georgia"
"100-100","climate perturbations","climate","climate"
"100-100","climate perturbations","perturbations","perturbations"
"100-100","demography","demography","demography"
"100-100","el niño","el","e"
"100-100","el niño","niño","onion"
"100-100","environmental autocorrelation","environmental","environmental"
"100-100","environmental autocorrelation","autocorrelation","autocorrelation"
"100-100","fur seal pup production","fur","fur"
"100-100","fur seal pup production","seal","seal"
"100-100","fur seal pup production","pup","pup"
"100-100","fur seal pup production","production","production"
"100-100","mixed-effects models","mixed","mixed"
"100-100","mixed-effects models","effects","effects"
"100-100","mixed-effects models","models","models"
"100-100","power spectrum","power","power"
"100-100","power spectrum","spectrum","spectrum"
"100-100","sea surface temperature","sea","sea"
"100-100","sea surface temperature","surface","surface"
"100-100","sea surface temperature","temperature","temperature"
"100-100","sst","sst","SST"
"100-100","southern ocean","southern","southern"
"100-100","southern ocean","ocean","ocean"
"100-100","variance components","variance","variance"
"100-100","variance components","components","components"
"100-101","american redstart","american","American"
"100-101","american redstart","redstart","restart"
"100-101","carryover effects","carryover","carryover"
"100-101","carryover effects","effects","effects"
"100-101","experimentally upgraded territories","experimentally","experimentally"
"100-101","experimentally upgraded territories","upgraded","upgraded"
"100-101","experimentally upgraded territories","territories","territories"
"100-101","migratory birds","migratory","migratory"
"100-101","migratory birds","birds","birds"
"100-101","nonbreeding winter habitat","nonbreeding","non breeding"
"100-101","nonbreeding winter habitat","winter","winter"
"100-101","nonbreeding winter habitat","habitat","habitat"
"100-101","population dynamics","population","population"
"100-101","population dynamics","dynamics","dynamics"
"100-101","removal experiments","removal","removal"
"100-101","removal experiments","experiments","experiments"
"100-101","seasonal interactions","seasonal","seasonal"
"100-101","seasonal interactions","interactions","interactions"
"100-101","setophaga ruticilla","setophaga","esophageal"
"100-101","setophaga ruticilla","ruticilla","rustically"
"100-101","stable-carbon isotopes","stable","stable"
"100-101","stable-carbon isotopes","carbon","carbon"
"100-101","stable-carbon isotopes","isotopes","isotopes"
"100-102","cestrum diurnum","cestrum","strum"
"100-102","cestrum diurnum","diurnum","diurnal"
"100-102","dispersal kernel","dispersal","dispersal"
"100-102","dispersal kernel","kernel","kernel"
"100-102","facilitation","facilitation","facilitation"
"100-102","frugivory","frugivory","frugality"
"100-102","indirect interactions","indirect","indirect"
"100-102","indirect interactions","interactions","interactions"
"100-102","mimus polyglottus","mimus","minus"
"100-102","mimus polyglottus","polyglottus","polyglots"
"100-102","puerto rico","puerto","Puerto"
"100-102","puerto rico","rico","Rico"
"100-102","seed dispersal","seed","seed"
"100-102","seed dispersal","dispersal","dispersal"
"100-102","solanum americanum","solanum","solarium"
"100-102","solanum americanum","americanum","americium"
"100-102","tyrannus dominicensis","tyrannus","tyrannous"
"100-102","tyrannus dominicensis","dominicensis","dominatrices"
"100-103","biodiversity","diversity","diversity"
"100-103","community assembly","community","community"
"100-103","community assembly","assembly","assembly"
"100-103","costa rica","costa","coats"
"100-103","costa rica","rica","Erica"
"100-103","deforestation","deforestation","deforestation"
"100-103","functional diversity","functional","functional"
"100-103","functional diversity","diversity","diversity"
"100-103","null models","null","null"
"100-103","null models","models","models"
"100-103","tropical plant communities","tropical","tropical"
"100-103","tropical plant communities","plant","plant"
"100-103","tropical plant communities","communities","communities"
"100-104","egg development","egg","egg"
"100-104","egg development","development","development"
"100-104","induced defense","induced","induced"
"100-104","induced defense","defense","defense"
"100-104","life history","life","life"
"100-104","life history","history","history"
"100-104","niche shift","niche","niche"
"100-104","niche shift","shift","shift"
"100-104","phenotypic plasticity","phenotypic","phenotypic"
"100-104","phenotypic plasticity","plasticity","plasticity"
"100-104","salmonid","salmonid","salmon id"
"100-104","timing of hatching","timing","timing"
"100-104","timing of hatching","of","of"
"100-104","timing of hatching","hatching","hatching"
"100-105","defense evolution","defense","defense"
