kw,kw2,kw3,n
-3/2 power law,power la,,3
(+/-)-catechin,-catechi,,1
(15)n tracer,)n trace,,1
"(e)-4,8-dimethyl-1,3,7-nonatriene",onatrien,,1
(generalized) linear model,ear mode,,3
(h2o)-o-18,h2o)-o-1,,1
(nh4+)-n-15,h4+)-n-1,,1
(no3-)-n-15,o3-)-n-1,,1
(species) diversity/biodiversity,diversit,,255
(tropical) rain forest(s),forest(s,,6
(z)-3-hexenol,3-hexeno,,1
&#160,&#16,,1
&#8208,&#820,,1
&#8722,&#872,,1
&#946,&#94,,2
&#947,&#94,,2
<bold>g</bold>-matrix,d>-matri,,1
1-indanol,1-indano,,1
"1,8-cineole",8-cineol,,1
1/f noise,1/f nois,,1
10-year cycles,ar cycle,s,1
10-year snowshoe hare cycle,are cycl,,2
11,1,,3
11-ketotestosterone,tosteron,,3
12s,12,s,1
12s mitochondrial dna,drial dn,,6
12s ribosomal-rna,somal-rn,,2
12s rrna,12s rrn,,1
13,1,,3
13-and 17-year,d 17-yea,,1
14-3-3 protein,3 protei,,1
14c,14,,1
15,1,,3
15 demographic forms of invasiveness,asivenes,s,6
15-spined stickleback,icklebac,,6
15n,15,,1
15n isotope,n isotop,,3
16s,16,s,1
16s rdna,16s rdn,,1
16s rdna sequencing,equencin,,25
16s rrna,16s rrn,,1
16s rrna genes,rna gene,s,1
16s-rrna and its gene sequencing,equencin,,25
17-year cicada,ar cicad,,1
18.6-yr lunar-nodal cycle,dal cycl,,1
1873-2021,1873-202,,1
18s rdna,18s rdn,,1
18th&#8211,8th&#821,,1
19-years,19-year,s,1
1938 hurricane,hurrican,,2
1964-2018,1964-201,,1
1970s,1970,s,1
1988-2017,1988-201,,1
1st aid,1st ai,,1
2,,,16
2-dimensional data,onal dat,,4
2-methyl-3-buten-2-ol,uten-2-o,,1
2-phase mosaics,e mosaic,s,2
2-phenylethanol,ylethano,,1
2-phenylethylglucosinolate,osinolat,,1
2-stage estimator,estimato,,22
2-y growth trend,wth tren,,1
"2,4-diacetylphloroglucinol",oglucino,,1
20 degrees c thermocline,ermoclin,,2
20-hydroxyecdysone,yecdyson,,1
2005 mass bleaching event,ing even,,3
