system,geo,taxon,habitat,part
rainforest tree,FALSE,FALSE,TRUE,TRUE
litter,FALSE,FALSE,FALSE,TRUE
litter decomposition,FALSE,FALSE,FALSE,TRUE
seedling,FALSE,FALSE,FALSE,TRUE
tree,FALSE,FALSE,FALSE,TRUE
seed,FALSE,FALSE,FALSE,TRUE
leaf,FALSE,FALSE,FALSE,TRUE
leaves,FALSE,FALSE,FALSE,TRUE
canopy,FALSE,FALSE,FALSE,TRUE
cloud forest,FALSE,FALSE,TRUE,FALSE
deciduous forest,FALSE,FALSE,TRUE,FALSE
dry forest,FALSE,FALSE,TRUE,FALSE
evergreen forest,FALSE,FALSE,TRUE,FALSE
forest,FALSE,FALSE,TRUE,FALSE
grassland,FALSE,FALSE,TRUE,FALSE
island,FALSE,FALSE,TRUE,FALSE
lowland,FALSE,FALSE,TRUE,FALSE
lowland forest  ,FALSE,FALSE,TRUE,FALSE
lowland rainforest  ,FALSE,FALSE,TRUE,FALSE
montane,FALSE,FALSE,TRUE,FALSE
montane forest,FALSE,FALSE,TRUE,FALSE
montane rainforest,FALSE,FALSE,TRUE,FALSE
rain forest,FALSE,FALSE,TRUE,FALSE
rainforest,FALSE,FALSE,TRUE,FALSE
salt marsh,FALSE,FALSE,TRUE,FALSE
savanna,FALSE,FALSE,TRUE,FALSE
secondary forest,FALSE,FALSE,TRUE,FALSE
wet forest  ,FALSE,FALSE,TRUE,FALSE
mangrove,FALSE,TRUE,TRUE,FALSE
mangrove forest,FALSE,TRUE,TRUE,FALSE
dipterocarp forest,FALSE,TRUE,TRUE,FALSE
tree community,FALSE,FALSE,FALSE,FALSE
amphibian,FALSE,TRUE,FALSE,FALSE
ant,FALSE,TRUE,FALSE,FALSE
ant plant  ,FALSE,TRUE,FALSE,FALSE
anuran,FALSE,TRUE,FALSE,FALSE
arbuscular mycorrhizal ,FALSE,TRUE,FALSE,FALSE
bats,FALSE,TRUE,FALSE,FALSE
bird,FALSE,TRUE,FALSE,FALSE
bird community,FALSE,TRUE,FALSE,FALSE
chiroptera,FALSE,TRUE,FALSE,FALSE
coral reef,FALSE,TRUE,FALSE,FALSE
cutting ant,FALSE,TRUE,FALSE,FALSE
drosophila,FALSE,TRUE,FALSE,FALSE
drosophila melanogaster,FALSE,TRUE,FALSE,FALSE
drosophila pseudoobscura,FALSE,TRUE,FALSE,FALSE
dung beetle,FALSE,TRUE,FALSE,FALSE
elephant,FALSE,TRUE,FALSE,FALSE
epiphyte,FALSE,TRUE,FALSE,FALSE
ficus,FALSE,TRUE,FALSE,FALSE
formicidae,FALSE,TRUE,FALSE,FALSE
heliconia,FALSE,TRUE,FALSE,FALSE
hummingbird,FALSE,TRUE,FALSE,FALSE
hymenoptera formicidae,FALSE,TRUE,FALSE,FALSE
lepidoptera,FALSE,TRUE,FALSE,FALSE
liana,FALSE,TRUE,FALSE,FALSE
mammal,FALSE,TRUE,FALSE,FALSE
primate,FALSE,TRUE,FALSE,FALSE
reptile,FALSE,TRUE,FALSE,FALSE
rodent,FALSE,TRUE,FALSE,FALSE
sea urchin,FALSE,TRUE,FALSE,FALSE
zooplankton,FALSE,TRUE,FALSE,FALSE
dipterocarpaceae,FALSE,TRUE,FALSE,FALSE
african savanna,TRUE,FALSE,TRUE,FALSE
amazonian forest,TRUE,FALSE,TRUE,FALSE
atlantic forest,TRUE,FALSE,TRUE,FALSE
australian wet,TRUE,FALSE,TRUE,FALSE
boreal forest,TRUE,FALSE,TRUE,FALSE
brazilian atlantic  ,TRUE,FALSE,TRUE,FALSE
cerrado,TRUE,FALSE,TRUE,FALSE
dry tropical,TRUE,FALSE,TRUE,FALSE
eastern decid,TRUE,FALSE,TRUE,FALSE
lowland tropical,TRUE,FALSE,TRUE,FALSE
neotropical forest,TRUE,FALSE,TRUE,FALSE
neotropical rainforest  ,TRUE,FALSE,TRUE,FALSE
pacific coast   ,TRUE,FALSE,TRUE,FALSE
polar,TRUE,FALSE,TRUE,FALSE
temperate rain forest,TRUE,FALSE,TRUE,FALSE
tropical dry,TRUE,FALSE,TRUE,FALSE
